# This file simulates a visual system capable of identifying eye direction.
# The information is provided in the form
# t Agent Object where:
# t is the simulation time step
# Agent is agent name
# Object is the entity the agent is looking at.
t   Agent   Object
1   Daniel  Sandra
1   Daniel  John
1   Sandra  Daniel
1   Sandra  John
1   John    Sandra
1   John    Daniel
2   Daniel  Sandra
2   Daniel  John
2   Sandra  Daniel
2   Sandra  John
2   John    Sandra
2   John    Daniel
3   Daniel  Sandra
3   Daniel  John
3   Sandra  Daniel
3   Sandra  John
3   John    Sandra
3   John    Daniel
4   Daniel  Sandra
4   Daniel  John
4   Sandra  Daniel
4   Sandra  John
4   John    Sandra
4   John    Daniel

