# This file simulates a camera input returning a list of entities in the scene.
# The camera system also identifies if an entity is moving.
# The column t specifies the time step for the camera
# reading. 
t   Entity  Is_Moving
1   Sally   True
1   Anne    True
1   Basket  False
1   Box     False
2   Sally   True
2   Anne    True
2   Basket  False
2   Box     False
2   Ball    False
3   Anne    True
3   Basket  False
3   Box     False
4   Anne    True
4   Basket  False
4   Box     False
4   Ball    False
5   Sally   True
5   Box     False
5   Basket  False
